鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
南港區,房地(土地+建物),臺北市南港區重陽路１６６巷１６弄３號,32.05,都市：其他:第三種住宅區。,,,1101111,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0730924,96.01,4,2,1,有,無,20580000,214353,,0.0,0,其他增建；,RPXSMLNJKIGGFDA18DA,89.59,6.42,0.0,無,
南港區,房地(土地+建物),臺北市南港區福德街３５０號五樓,30.0,都市：其他:第三種住宅區。,,,1101121,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700709,98.08,4,2,1,有,無,13800000,140701,,0.0,0,,RPUNMLOLJIGGFDA57DA,86.97,0.0,11.11,無,
南港區,房地(土地+建物),臺北市南港區成福路８２號四樓,51.3,都市：其他:第三種住宅區。,,,1100912,土地3建物1車位0,四層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,124.83,3,1,2,有,無,21000000,168229,,0.0,0,陽台外推；其他增建；,RPVRMLTLJIGGFDA58DA,124.83,0.0,0.0,無,
南港區,房地(土地+建物),臺北市南港區中坡南路３１巷８號二樓之２,12.8,都市：其他:第三種住宅區。,,,1101122,土地1建物1車位0,二層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1090731,50.78,1,1,1,有,有,15320000,301694,,0.0,0,,RPPNMLKMJIGGFDA76DA,22.02,1.57,7.7,有,
內湖區,房地(土地+建物),臺北市內湖區東湖路１１３巷８６號二樓之４,16.03,都市：其他:第三種住宅區。,,,1101031,土地1建物1車位0,二層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820717,66.99000000000001,2,1,1,有,有,12060000,180027,,0.0,0,其他增建；,RPTOMLQKKIGGFCA67DA,37.22,14.95,4.71,有,
中山區,房地(土地+建物),臺北市中山區復興北路３８０巷９號三樓,31.2,都市：其他:第三種住宅區。,,,1101018,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730704,110.30999999999999,3,2,2,有,無,20000000,181307,,0.0,0,二親等買賣親友、員工、共有人或其他特殊關係間之交易；,RPRRMLQKKIGGFCA77DA,96.37,0.0,10.95,無,
內湖區,房地(土地+建物)+車位,臺北市內湖區南京東路六段４５１巷５７號十三樓之１,17.5,都市：其他:辦公服務區(一)(不得作住宅使用)。,,,1101202,土地1建物1車位2,十三層,十四層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0971205,118.96000000000001,2,2,1,有,有,16500000,138702,坡道機械,33.04,0,,RPTNMLRKKIGGFCA67DA,48.17,5.01,5.51,有,
中山區,房地(土地+建物),臺北市中山區林森北路１０７巷９０號五樓之１、五樓之２,13.12,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第參種住宅區及第參之貳種住宅區) 但是否在道路用地(公共設施用地)(應依建築線或俟地籍測量分割後，再確定)。,,,1101107,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0650605,76.34,2,4,2,有,有,12300000,161121,,0.0,0,,RPOOMLRKKIGGFCA27DA,45.88,0.0,18.96,有,
中山區,房地(土地+建物),臺北市中山區新生北路一段４１號,17.22,都市：其他:第三之二種住宅區。,,,1101014,土地1建物1車位0,一層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0730721,146.29999999999998,0,0,0,無,有,34000000,232399,,0.0,0,其他增建；,RPXOMLPKKIGGFCA97DA,67.96,76.46,0.0,有,
南港區,房地(土地+建物),臺北市南港區研究院路三段６８巷１０弄８號二樓之１,2.54,都市：其他:第二種住宅區。,,,1100830,土地3建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0670801,60.79,2,1,1,有,無,3660000,60207,,0.0,0,陽台外推；其他增建；,RPXNMLNJJIGGFDA57DA,52.98,0.0,7.81,無,
